business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
CHANDA BUILDER,Building Material Supplier,Building materials supplier,"Building materials supplier, Cement Supplier, Steel distributor",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 99322 92105,N/A,,,"Jayanti Para, 2no. Ghumti, Jalpaiguri, West Bengal 735101",735305,26.5193546,88.7225289,ChIJ5yjNLVJ55DkR9e_L6aIZmTc,https://www.google.com/maps/place/?q=place_id:ChIJ5yjNLVJ55DkR9e_L6aIZmTc,part_330,2026-09-20 20:17:31,2279
JULAS GRILL & GATE,Building Material Supplier,Building materials supplier,Building materials supplier,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,,,"Pilkhana Gonger more, Jalpaiguri, West Bengal 735101",735305,26.501729599999997,88.7321807,ChIJTcq62PV_5DkRRARuXAYQdBM,https://www.google.com/maps/place/?q=place_id:ChIJTcq62PV_5DkRRARuXAYQdBM,part_330,2026-09-20 20:17:31,2280
Global Ceramics,Building Material Supplier,Building materials store,Building materials store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,4.9,22.0,"Pandapara Rd, Park Moe, Pandapara, Jalpaiguri, West Bengal 735101","Park Moe, Pandapara",26.510525899999998,88.7183158,ChIJrQtQZ6t-5DkRIc_6VhDPu1E,https://www.google.com/maps/place/?q=place_id:ChIJrQtQZ6t-5DkRIc_6VhDPu1E,part_330,2026-09-20 20:17:31,2281
Sarkar Builders,Building Material Supplier,Hardware store,"Hardware store, Building materials store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 95934 32323,N/A,4.7,3.0,"Sarkar Builders, 02, Jalpesh Rd, Indiramore, Maynaguri, Uttar Madhabdanga, West Bengal 735224",Indiramore,26.5518102,88.82450659999999,ChIJVW4DyzCH4zkROJQYjq5QCsQ,https://www.google.com/maps/place/?q=place_id:ChIJVW4DyzCH4zkROJQYjq5QCsQ,part_330,2026-09-20 20:17:31,2282
DDM BUILDERS,Building Material Supplier,Tile store,Tile store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 99333 95610,N/A,1.0,1.0,"Folding, more, Jalpaiguri, Mandalghat, West Bengal 735132",735305,26.4799263,88.7209329,ChIJHX1K7IB_5DkRufCtbSJy2Dg,https://www.google.com/maps/place/?q=place_id:ChIJHX1K7IB_5DkRufCtbSJy2Dg,part_330,2026-09-20 20:17:31,2283
Tata Tiscon,Building Material Supplier,Hardware store,Hardware store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98324 53010,https://aashiyana.tatasteel.com/,3.6,28.0,"Puraton Bazar, Maynaguri, West Bengal 735224",Puraton Bazar,26.565011199999997,88.82353169999999,ChIJf7CyrK2H4zkRv0LcHGNZ8AY,https://www.google.com/maps/place/?q=place_id:ChIJf7CyrK2H4zkRv0LcHGNZ8AY,part_330,2026-09-20 20:17:31,2284
Sibasis Biswas,Building Material Supplier,Civil engineer,"Civil engineer, Building consultant, Building designer, Building firm, Building inspector, Building materials store, Real Estate Builders & Construction Company, Engineer, Engineering consultant, Interior designer",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 70010 30442,https://www.linkedin.com/in/sibasisbiswas,5.0,63.0,"Old Police Line Rd, opp. Nirvana Restaurant, Deshbandhu Para, Silpasamiti Para, Jalpaiguri, West Bengal 735101","Deshbandhu Para, Silpasamiti Para",26.5334687,88.7148629,ChIJYURn20t55DkR0wHP17lPUSk,https://www.google.com/maps/place/?q=place_id:ChIJYURn20t55DkR0wHP17lPUSk,part_330,2026-09-20 20:17:31,2285
"Builders Paradise, JSW SHOPPE CONNECT",Building Material Supplier,Building materials store,Building materials store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 97349 70430,N/A,4.0,4.0,"Paharpur, More, Jalpaiguri, West Bengal 735121",735305,26.5587417,88.7238824,ChIJQWOLEHB55DkR_CodKd4fFOY,https://www.google.com/maps/place/?q=place_id:ChIJQWOLEHB55DkR_CodKd4fFOY,part_330,2026-09-20 20:17:32,2286
United Builders,Building Material Supplier,Building materials store,Building materials store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 3561 230 661,N/A,5.0,3.0,"GPG9+JVG, Bhanumati Rd, opposite of Daga House, Jalpaiguri, West Bengal 735101",735305,26.526584099999997,88.719684,ChIJG1qGeQB55DkRRA2ttrxdSqA,https://www.google.com/maps/place/?q=place_id:ChIJG1qGeQB55DkRRA2ttrxdSqA,part_330,2026-09-20 20:17:32,2287
Mab Incorporation,Building Material Supplier,Water purification company,"Water purification company, Civil engineer, Environmental consultant, Fountain contractor, Swimming pool, Water Filter Supplier, Water park",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 82509 81300,http://www.mabincorporation.com/,4.9,88.0,"Kadamtala, West Bengal 735101",735305,26.5241081,88.7165813,ChIJ-U1vfIx55DkRZpG9ySUaKzw,https://www.google.com/maps/place/?q=place_id:ChIJ-U1vfIx55DkRZpG9ySUaKzw,part_330,2026-09-20 20:17:32,2288
Jaiswal Buildars,Building Material Supplier,Building materials supplier,"Building materials supplier, Building materials store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 81673 52900,http://www.jaiswalbuildars.com/,4.5,40.0,"Jaiswal Builders 3rd Mile Sevoke Road, Anchal Rd, near maruti kata, opp. Northern flour mill, Salugara, Siliguri, West Bengal 734008","Chayan Para, Salugara",26.7610621,88.4450032,ChIJI531G9lB5DkRI-tfTGxQ7nY,https://www.google.com/maps/place/?q=place_id:ChIJI531G9lB5DkRI-tfTGxQ7nY,part_330,2026-09-20 20:17:32,2289
DAS ENTERPRISE,Building Material Supplier,Paint store,"Paint store, Hardware store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 89729 11352,N/A,5.0,,"Panda Para, Haldibari Rd, Pandapara, Jalpaiguri, Kharia, West Bengal 735101",Pandapara,26.5036553,88.7139529,ChIJzT2K1uV_5DkR7GYslkFF1xI,https://www.google.com/maps/place/?q=place_id:ChIJzT2K1uV_5DkR7GYslkFF1xI,part_330,2026-09-20 20:17:33,2290
RedStone Brick House,Building Material Supplier,Building materials supplier,Building materials supplier,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,,,"jalpaiguri, maynaguri, Brahmapur, West Bengal 735305",735305,26.450192299999998,88.893367,ChIJ0XEccm2D4zkRvFiXhoEBNgU,https://www.google.com/maps/place/?q=place_id:ChIJ0XEccm2D4zkRvFiXhoEBNgU,part_330,2026-09-20 20:17:33,2291
অযোধ্যা হার্ডওয়ার,Building Material Supplier,Hardware store,Hardware store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,4.8,,"HRC5+9W8, Uttar Mauamari, West Bengal 735224",735305,26.570753,88.81012299999999,ChIJ4S-SUACH4zkRnYCqikWtlnA,https://www.google.com/maps/place/?q=place_id:ChIJ4S-SUACH4zkRnYCqikWtlnA,part_330,2026-09-20 20:17:33,2292
M M Traders,Building Material Supplier,Building materials supplier,"Building materials supplier, Cement Supplier",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98320 14773,https://jsdl.in/RSL-UUW1762806976,4.2,,"Beguntary More, West Bengal 735101","Raikot Para, Silpasamiti Para",26.530061099999998,88.718808,ChIJd7ztEl155DkR-P3L5xUu3ro,https://www.google.com/maps/place/?q=place_id:ChIJd7ztEl155DkR-P3L5xUu3ro,part_330,2026-09-20 20:17:33,2293
