business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
CHHATRA PUSTAKALAY,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 97338 07094,N/A,4.2,,"Gach Sitala, Chandrakona, West Bengal 721201",Gach Sitala,22.7299076,87.5181922,ChIJ77hJB1P59zkRYczjJY5KXgI,https://www.google.com/maps/place/?q=place_id:ChIJ77hJB1P59zkRYczjJY5KXgI,part_322,2026-09-20 20:17:42,4742
খান ষ্টেশনার্স এ্যান্ড বুক হাউস,Bookstore and Stationery Shop,Stationery store,Stationery store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 81709 46827,https://sites.google.com/view/khan-stationers/home,5.0,,"Krishnapur, Chandrakona, West Bengal 721242",721201,22.825868999999997,87.53220069999999,ChIJix2QUQz39zkRBaQTuAJnRMM,https://www.google.com/maps/place/?q=place_id:ChIJix2QUQz39zkRBaQTuAJnRMM,part_322,2026-09-20 20:17:42,4743
Halder Variety Stores,Bookstore and Stationery Shop,Stationery store,Stationery store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 99325 29073,N/A,5.0,,"near Football Ground, Jhakra, Chandrakona, West Bengal 721201",721201,22.689046899999997,87.5589652,ChIJmezZn7cB-DkREJoJesXZY9E,https://www.google.com/maps/place/?q=place_id:ChIJmezZn7cB-DkREJoJesXZY9E,part_322,2026-09-20 20:17:42,4744
SIKSHASATHI BOOKS AND STATIONERS,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 62913 67095,N/A,,,"Banka, Near Banka Bus Stop Banka,Chandrakona, Pin Code 721201, West Bengal 721201",Banka,22.727789599999998,87.5776571,ChIJ691euYcD-DkRV-Cf2XHpJ3o,https://www.google.com/maps/place/?q=place_id:ChIJ691euYcD-DkRV-Cf2XHpJ3o,part_322,2026-09-20 20:17:42,4745
taramata book Store,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.6,,"PGJ6+28R, NH116B, Gach Sitala, Chandrakona, West Bengal 721201",Gach Sitala,22.730114,87.5107654,ChIJGVVAk-_49zkRfIoP0ALFuZA,https://www.google.com/maps/place/?q=place_id:ChIJGVVAk-_49zkRfIoP0ALFuZA,part_322,2026-09-20 20:17:42,4746
Students' Library,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 84360 33036,N/A,4.4,126.0,"G8JG+F97, Mamra, Durgapur, West Bengal 713206",Mamra,23.5311625,87.325932,ChIJnXb5OLtx9zkRivmWzS2YNnQ,https://www.google.com/maps/place/?q=place_id:ChIJnXb5OLtx9zkRivmWzS2YNnQ,part_322,2026-09-20 20:17:43,4747
Starmark,Bookstore and Stationery Shop,Book store,"Book store, Pen store, Stationery store, Toy store",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 81001 20120,https://starmarkonline.com/,4.6,10332.0,"375, Prince Anwar Shah Rd, South City Complex, Jadavpur, Kolkata, West Bengal 700068","South City Complex, Jadavpur",22.501509499999997,88.3613218,ChIJDU3doh2e-DkRrZeddN7YbTY,https://www.google.com/maps/place/?q=place_id:ChIJDU3doh2e-DkRrZeddN7YbTY,part_322,2026-09-20 20:17:43,4748
Amala Pustakalay,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 94743 06454,N/A,4.0,41.0,"23H7+Q2G, Indian Oil Township Cluster 10, Haldia, West Bengal 721607",Indian Oil Township Cluster 10,22.0294472,88.0625823,ChIJI45KxXD6AjoRhyqzrbMbAsA,https://www.google.com/maps/place/?q=place_id:ChIJI45KxXD6AjoRhyqzrbMbAsA,part_322,2026-09-20 20:17:43,4749
Kanan Book House,Bookstore and Stationery Shop,Book store,"Book store, Store",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 70030 54677,N/A,4.2,231.0,"Sonarpur Bazaar, Saheb para, sonarpur, Sonarpur, Rajpur Sonarpur, West Bengal 700150","Sonarpur Bazaar, Saheb para, sonarpur, Sonarpur",22.442952599999998,88.4280455,ChIJ_cy7rGlyAjoRZm2T37OnBqQ,https://www.google.com/maps/place/?q=place_id:ChIJ_cy7rGlyAjoRZm2T37OnBqQ,part_322,2026-09-20 20:17:43,4750
SIXTEEN WONDER,Bookstore and Stationery Shop,Stationery store,Stationery store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 81457 13078,N/A,5.0,2.0,"SARENGA ROAD, Durlavganj, Bila, West Bengal 721253",Durlavganj,22.7317131,87.3297429,ChIJsf1y60Dl9zkRN6TqPFrcoRA,https://www.google.com/maps/place/?q=place_id:ChIJsf1y60Dl9zkRN6TqPFrcoRA,part_322,2026-09-20 20:17:43,4751
Swastrisree Pustakalaya - Main Branch,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 99327 26788,N/A,4.3,44.0,"V953+445, Garhbeta - Hoomgarh Rd, beside Bank of Baroda, Garhbeta, West Bengal 721127",721201,22.8577685,87.3528468,ChIJZXjm5kLu9zkRGSsUZ_jGzZc,https://www.google.com/maps/place/?q=place_id:ChIJZXjm5kLu9zkRGSsUZ_jGzZc,part_322,2026-09-20 20:17:43,4752
CHATTERJEE LIBRARY,Bookstore and Stationery Shop,Stationery store,Stationery store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 97345 17060,N/A,4.5,134.0,"9th street, Harshabardhan Rd, A-Zone, Durgapur, West Bengal 713204",A-Zone,23.5706982,87.2828227,ChIJj1U33ept9zkRk17mdnlxziM,https://www.google.com/maps/place/?q=place_id:ChIJj1U33ept9zkRk17mdnlxziM,part_322,2026-09-20 20:17:43,4753
Ketab Mahal,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98309 47788,N/A,4.4,493.0,"48/1, Rabindranath Tagore Rd, May Dibas Pally, Dakshineswar, Kolkata, West Bengal 700076","May Dibas Pally, Dakshineswar",22.6573419,88.3631243,ChIJDa_8m6qd-DkR_gXUgA8VlS4,https://www.google.com/maps/place/?q=place_id:ChIJDa_8m6qd-DkR_gXUgA8VlS4,part_322,2026-09-20 20:17:43,4754
Jain Book and stationery,Bookstore and Stationery Shop,Book store,"Book store, Scrapbooking store, Stationery store",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 89711 20267,N/A,4.3,466.0,"near RNSIT Collage, Channasandra, Srinivaspura, Bengaluru, Karnataka 560098","Channasandra, Srinivaspura",12.9025927,77.5193729,ChIJ_7C4aJQ_rjsR_dfjFWcDVE4,https://www.google.com/maps/place/?q=place_id:ChIJ_7C4aJQ_rjsR_dfjFWcDVE4,part_322,2026-09-20 20:17:43,4755
Vijay Book Seller,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 94191 11955,N/A,4.5,33.0,"Unnamed Road, 181102",721201,32.6086731,74.7317139,ChIJX7PjuVGRHjkRyM0stdngAIg,https://www.google.com/maps/place/?q=place_id:ChIJX7PjuVGRHjkRyM0stdngAIg,part_322,2026-09-20 20:17:43,4756
J.K. Pustakalaya,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 92333 11223,N/A,4.3,,"C87H+J87, Barabazar Rd, Midnapore, West Bengal 721101",721201,22.4140432,87.32831039999999,ChIJ--ErcDFbHToR7tPO5UpHxEY,https://www.google.com/maps/place/?q=place_id:ChIJ--ErcDFbHToR7tPO5UpHxEY,part_322,2026-09-20 20:17:43,4757
GRACE BOOK SHOP,Bookstore and Stationery Shop,Stationery store,Stationery store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 90460 90013,N/A,5.0,,"188 School, West Bengal 721101",721201,22.4352719,87.32156789999999,ChIJkbvDD-tbHToRTWPvFXiYoMs,https://www.google.com/maps/place/?q=place_id:ChIJkbvDD-tbHToRTWPvFXiYoMs,part_322,2026-09-20 20:17:43,4758
Roy Enterprise & Roy Book World,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.2,,"Mecheda, West Bengal 721137",721201,22.411965499999997,87.862904,ChIJ7QFxrfmXAjoRBM-tJ21DbLM,https://www.google.com/maps/place/?q=place_id:ChIJ7QFxrfmXAjoRBM-tJ21DbLM,part_322,2026-09-20 20:17:43,4759
STUDENTS LINK,Bookstore and Stationery Shop,Store,"Store, Pen store",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 89181 98509,N/A,4.5,,"Panchur Chalk, near Head Post Office Road, Raja Bazar, Midnapore, West Bengal 721101",Raja Bazar,22.4235015,87.32706519999999,ChIJAd6M6DtbHToRV3sqyn-xYDA,https://www.google.com/maps/place/?q=place_id:ChIJAd6M6DtbHToRV3sqyn-xYDA,part_322,2026-09-20 20:17:43,4760
Pustak Bhaban,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 94740 00704,N/A,4.1,,"N L Khan, Road, Sunaganj, Midnapore, West Bengal 721101",Sunaganj,22.4088709,87.32635839999999,ChIJaR4UnjRbHToRloaPaorUG5M,https://www.google.com/maps/place/?q=place_id:ChIJaR4UnjRbHToRloaPaorUG5M,part_322,2026-09-20 20:17:43,4761
BHURJAPATRA(Books&Stationery),Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 80016 89988,N/A,4.3,,"Tantigeria, Midnapore, West Bengal 721101",Tantigeria,22.430752599999998,87.30750139999999,ChIJ-210meRbHToRjLVJFKGQKe8,https://www.google.com/maps/place/?q=place_id:ChIJ-210meRbHToRjLVJFKGQKe8,part_322,2026-09-20 20:17:43,4762
Bandhab Pustakalya,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 99329 05499,N/A,4.0,,"C87H+J8G, Barabazar Rd, Midnapore, West Bengal 721101",721201,22.414054999999998,87.32831499999999,ChIJl2rCbzFbHToRzrUgNxpSvuk,https://www.google.com/maps/place/?q=place_id:ChIJl2rCbzFbHToRzrUgNxpSvuk,part_322,2026-09-20 20:17:43,4763
MALLICK PUSTAK BIPANI,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 99339 37629,N/A,4.1,,"loknath mess, Midnapore Railway Station Rd, Ashok Nagar, Midnapore, West Bengal 721101",Ashok Nagar,22.4300168,87.30985799999999,ChIJ6y6AY11bHToRUXIxQOWoxJQ,https://www.google.com/maps/place/?q=place_id:ChIJ6y6AY11bHToRUXIxQOWoxJQ,part_322,2026-09-20 20:17:43,4764
ARGHYA BOOK HOUSE,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 97353 59930,N/A,4.2,,"Arghya Book House, Central Bus Stand Road, Contai, Dhandighi, Contai, West Bengal 721404","Contai, Dhandighi",21.7772166,87.7357811,ChIJa3KMwFgmAzoRi-M_K_-UV1g,https://www.google.com/maps/place/?q=place_id:ChIJa3KMwFgmAzoRi-M_K_-UV1g,part_322,2026-09-20 20:17:43,4765
BINDUSHREE STATIONERS,Bookstore and Stationery Shop,Indian grocery store,Indian grocery store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 89722 40993,N/A,4.8,,"Bhupati Nagar, Netaji mor, Madha Khali, Ektarpur, West Bengal 721425","Bhupati Nagar, Netaji mor",21.9973994,87.7355796,ChIJt10zO03bAjoRkO617Ts4n2Y,https://www.google.com/maps/place/?q=place_id:ChIJt10zO03bAjoRkO617Ts4n2Y,part_322,2026-09-20 20:17:43,4766
M/S New Kharagpur Pustakalaya,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 94342 43182,N/A,3.8,,"Shop No C 8, 9, Simla Centre, Railway Market, Gole Bazar Rd, Kharagpur, West Bengal 721301",721201,22.342202699999998,87.316975,ChIJE3L0y2tEHToRq8ao9LVSMh4,https://www.google.com/maps/place/?q=place_id:ChIJE3L0y2tEHToRq8ao9LVSMh4,part_322,2026-09-20 20:17:43,4767
Mukteswar Pustakalaya,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.4,,"PGXP+M56, Paniparul, West Bengal 721448",Paniparul,21.7491578,87.53539789999999,ChIJv8nP96vUHDoRaR9fWdAAWeE,https://www.google.com/maps/place/?q=place_id:ChIJv8nP96vUHDoRaR9fWdAAWeE,part_322,2026-09-20 20:17:43,4768
Subhani Book Store,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 90468 91334,N/A,4.5,,"88F9+48P, Sonamukhi Jholi, Kharagpur, West Bengal 721301",Sonamukhi Jholi,22.323552,87.31930679999999,ChIJB9MhKhhEHToRWtw88SHcuf8,https://www.google.com/maps/place/?q=place_id:ChIJB9MhKhhEHToRWtw88SHcuf8,part_322,2026-09-20 20:17:43,4769
Sridhar Pustakalay,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 94335 01118,N/A,4.7,,"W7PF+6RF, Ektarpur Takinagar, West Bengal 721426",721201,21.9355618,87.27455909999999,ChIJOzKOftkjHToRPGB2ALZ7yZA,https://www.google.com/maps/place/?q=place_id:ChIJOzKOftkjHToRPGB2ALZ7yZA,part_322,2026-09-20 20:17:43,4770
Samir Book Stall,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98003 48106,N/A,3.8,,"Rangamati, Midnapore, West Bengal 721101",Rangamati,22.4239109,87.3025361,ChIJj2T1ulhbHToRoGqK9ufYcZY,https://www.google.com/maps/place/?q=place_id:ChIJj2T1ulhbHToRoGqK9ufYcZY,part_322,2026-09-20 20:17:43,4771
Nandita Book Stall,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.5,,"C8C3+GVQ, Rangamati, Midnapore, West Bengal 721101",Rangamati,22.4213278,87.3047333,ChIJu9SXwqVbHToR3BoaGfxu260,https://www.google.com/maps/place/?q=place_id:ChIJu9SXwqVbHToR3BoaGfxu260,part_322,2026-09-20 20:17:43,4772
Sandhyamani Store & Xerox,Bookstore and Stationery Shop,Stationery store,"Stationery store, Copy shop, Lamination service, Print shop",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 73848 22894,N/A,4.2,,"C8J3+PRJ, Vidyasagar University Rd, Tantigeria, Midnapore, West Bengal 721102",Tantigeria,22.4318419,87.30451269999999,ChIJJ5__i2BbHToRJerWNVGW3WI,https://www.google.com/maps/place/?q=place_id:ChIJJ5__i2BbHToRJerWNVGW3WI,part_322,2026-09-20 20:17:43,4773
QUALITY CORNER,Bookstore and Stationery Shop,Gift shop,"Gift shop, Confectionery store, Cosmetics store, Handicraft, Smart shop, Toy store",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 70011 85573,N/A,5.0,,"Digha - Contai Rd, BALISAI, West Bengal 721423",721201,21.678348099999997,87.5989266,ChIJD3yKU2otAzoRMN0kiSgeNDo,https://www.google.com/maps/place/?q=place_id:ChIJD3yKU2otAzoRMN0kiSgeNDo,part_322,2026-09-20 20:17:43,4774
New Book Distributor,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98743 82832,N/A,4.1,321.0,"S.M, P Sarani, Gaja Gali, opposite Sukanta Sadan Theater hall, Kolkata, Barrackpore, West Bengal 700120",721201,22.7599724,88.3697681,ChIJNf-ySVaa-DkRDDMggeya46Y,https://www.google.com/maps/place/?q=place_id:ChIJNf-ySVaa-DkRDDMggeya46Y,part_322,2026-09-20 20:17:44,4775
Lakshmi Paper and Stationers,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store, Pen store",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 85828 68910,N/A,4.4,129.0,"Shop No- 4B, 46, Beck Bagan Row, Lower Range, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019","Lower Range, Beck Bagan, Ballygunge",22.539198499999998,88.3636231,ChIJRzcG7992AjoR9tQXRUT48sU,https://www.google.com/maps/place/?q=place_id:ChIJRzcG7992AjoR9tQXRUT48sU,part_322,2026-09-20 20:17:44,4776
Deshbandhu Book House,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 84203 69405,N/A,4.3,78.0,"28, 27, Goswami Para Rd, Bag Bazar Colony, Bally, Howrah, West Bengal 711201","Bag Bazar Colony, Bally",22.6479554,88.34831229999999,ChIJEWlc7hmd-DkRlbAuEEPXpAQ,https://www.google.com/maps/place/?q=place_id:ChIJEWlc7hmd-DkRlbAuEEPXpAQ,part_322,2026-09-20 20:17:44,4777
Neelima Books,Bookstore and Stationery Shop,Stationery store,Stationery store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 92312 61654,N/A,4.4,19.0,"101, Brahmapur, Battala Bazaar, West Bengal 700096","N G Park, Bansdroni",22.463464,88.3640657,ChIJy3O9zKpxAjoRRWRn0w1TJ40,https://www.google.com/maps/place/?q=place_id:ChIJy3O9zKpxAjoRRWRn0w1TJ40,part_322,2026-09-20 20:17:44,4778
Office Linc,Bookstore and Stationery Shop,Stationery store,Stationery store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 33 4067 6003,http://www.lincpen.com/,4.2,490.0,"Ground floor, Neelambar Building, 28B, Shakespeare Sarani, Elgin, Kolkata, West Bengal 700017",Elgin,22.5447654,88.3550109,ChIJpeaLmRl3AjoRA_Tk6cSuf2U,https://www.google.com/maps/place/?q=place_id:ChIJpeaLmRl3AjoRA_Tk6cSuf2U,part_322,2026-09-20 20:17:44,4779
Stationery Shops,Bookstore and Stationery Shop,Stationery store,Stationery store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 91239 90969,N/A,4.0,3.0,"Acharya Jagdish Chandra Bose Road, 47/2A, Ripon St, Taltala, Kolkata, West Bengal 700016",Taltala,22.5525445,88.3635801,ChIJoYHhS_12AjoRITZbSAyTlnU,https://www.google.com/maps/place/?q=place_id:ChIJoYHhS_12AjoRITZbSAyTlnU,part_322,2026-09-20 20:17:44,4780
The Colour Pencil - Gift and Stationery Shop,Bookstore and Stationery Shop,Stationery store,"Stationery store, Gift shop, Scrapbooking store",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 99034 17305,N/A,4.8,49.0,"Tarun, Sengupta Sarani, Sapui Para, Rajbari, Dum Dum, Kolkata, West Bengal 700079","Sapui Para, Rajbari, Dum Dum",22.6435456,88.42412809999999,ChIJw47oSKaf-DkR91iUV8d_tUc,https://www.google.com/maps/place/?q=place_id:ChIJw47oSKaf-DkR91iUV8d_tUc,part_322,2026-09-20 20:17:44,4781
Saraswati Paper Mart,Bookstore and Stationery Shop,Stationery store,Stationery store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 33 2269 5449,N/A,4.1,40.0,"65, Cotton Street Road, Burrabazar, Burtolla St, Raja Katra, Bara Bazar, Kolkata, West Bengal 700007","Raja Katra, Bara Bazar, Jorasanko",22.581681399999997,88.3562422,ChIJe6yzIVN2AjoRGvcEH3LO5iQ,https://www.google.com/maps/place/?q=place_id:ChIJe6yzIVN2AjoRGvcEH3LO5iQ,part_322,2026-09-20 20:17:44,4782
LOKENATH STATIONERS,Bookstore and Stationery Shop,Stationery store,Stationery store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98364 12021,N/A,4.4,29.0,"shop no 38, Gd Market, GD Block, Sector 3, Bidhannagar, Kolkata, West Bengal 700106","GD Block, Sector 3, Bidhannagar",22.577762999999997,88.4183492,ChIJJ5wNZ791AjoRM9vLcm1Y_1g,https://www.google.com/maps/place/?q=place_id:ChIJJ5wNZ791AjoRM9vLcm1Y_1g,part_322,2026-09-20 20:17:44,4783
Kundu stores,Bookstore and Stationery Shop,Copy shop,"Copy shop, Art supply store, Office supply store",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98311 66907,https://instagram.com/kundu_stores_kolkata,4.9,61.0,"138c, Ashutosh Mukherjee Rd, near purna cinema, Chokkoberreya, Patuapara, Bhowanipore, Kolkata, West Bengal 700025","Chokkoberreya, Patuapara, Bhowanipore",22.529567999999998,88.3452938,ChIJb_NFSDh3AjoRJA8JH1LZQoo,https://www.google.com/maps/place/?q=place_id:ChIJb_NFSDh3AjoRJA8JH1LZQoo,part_322,2026-09-20 20:17:44,4784
RAMDEV Stationers Xerox And Printers,Bookstore and Stationery Shop,Stationery store,Stationery store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98307 78876,N/A,3.4,57.0,"near DLF IT Park, AG Block(Newtown), Action Area 1A, Newtown, West Bengal 700163","AG Block(Newtown), Action Area 1A, Newtown",22.584733,88.4507223,ChIJz8TwbxJ1AjoRsmvsHqHAmN8,https://www.google.com/maps/place/?q=place_id:ChIJz8TwbxJ1AjoRsmvsHqHAmN8,part_322,2026-09-20 20:17:44,4785
Nag Paper House,Bookstore and Stationery Shop,Stationery store,Stationery store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 96742 21722,N/A,4.5,58.0,"Jadu Babu Market, 31, Ashutosh Mukherjee Road, Ashutosh Mukherjee Road, Kolkata, West Bengal 700020","Jadubabur Bazar, Bhowanipore",22.5336386,88.3464925,ChIJrxojIDl3AjoRYi5doDA6UWI,https://www.google.com/maps/place/?q=place_id:ChIJrxojIDl3AjoRYi5doDA6UWI,part_322,2026-09-20 20:17:44,4786
Chowdhury Publishers,Bookstore and Stationery Shop,Book store,Book store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98318 16408,N/A,4.1,11.0,"15/3, NC Mitra Rd, Gora Bazar, Rajbari, Dum Dum, North Dumdum, West Bengal 700028","Gora Bazar, Rajbari, Dum Dum",22.636007199999998,88.414013,ChIJoeuk1Gye-DkRI5CjpcjSTrI,https://www.google.com/maps/place/?q=place_id:ChIJoeuk1Gye-DkRI5CjpcjSTrI,part_322,2026-09-20 20:17:44,4787
Mahaprabhu Stationers,Bookstore and Stationery Shop,Stationery store,Stationery store,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 75011 74543,N/A,5.0,,"Mahaprabhu Stationers, Radhakantapur, West Bengal 721211",721211,22.5657942,87.7389206,ChIJu6orqRunAjoRIKLpoxSxWRg,https://www.google.com/maps/place/?q=place_id:ChIJu6orqRunAjoRIKLpoxSxWRg,part_322,2026-09-20 20:18:25,9091
Das Stationary,Bookstore and Stationery Shop,Stationery store,Stationery store,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 70297 86331,N/A,4.0,,"Das Stationary, Bus Stand, Keshpur-Daspur Rd, nearby balipota, Balipota, Daspur, Narajole, West Bengal 721211",Balipota,22.554448999999998,87.633613,ChIJ51PKGx2pAjoRKNZs2B2MYFI,https://www.google.com/maps/place/?q=place_id:ChIJ51PKGx2pAjoRKNZs2B2MYFI,part_322,2026-09-20 20:18:25,9092
Swasti Library,Bookstore and Stationery Shop,Book store,Book store,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",N/A,N/A,5.0,,"JP4F+W5F, Kabi Najrul Rd, Podampur, Daspur, West Bengal 721211",Podampur,22.6073015,87.7229306,ChIJYcq62yYI-DkR-q4PJyZmwZ8,https://www.google.com/maps/place/?q=place_id:ChIJYcq62yYI-DkR-q4PJyZmwZ8,part_322,2026-09-20 20:18:25,9093
Mondal book stall,Bookstore and Stationery Shop,Book store,Book store,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",N/A,N/A,3.4,,"Taxi Stand, NH116B, Puratan Bari, Contai, West Bengal 721401",Puratan Bari,21.7780658,87.74960779999999,ChIJ_ZMnhdknAzoRhmHgHe0-Ayo,https://www.google.com/maps/place/?q=place_id:ChIJ_ZMnhdknAzoRhmHgHe0-Ayo,part_322,2026-09-20 20:18:25,9094
Sanchita Book Stall,Bookstore and Stationery Shop,Book store,Book store,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 77974 87821,N/A,4.1,,"Barabazar Rd, Uttar Chara Sankarara, Tamluk, West Bengal 721636",721211,22.286376999999998,87.9251128,ChIJPfPDQXCUAjoRd_7QVDA4aO4,https://www.google.com/maps/place/?q=place_id:ChIJPfPDQXCUAjoRd_7QVDA4aO4,part_322,2026-09-20 20:18:25,9095
