business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sree Balaji Petful hotel and Restaurant,Non-Veg Biryani Restaurant,Family restaurant,Family restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 70634 82627,N/A,4.5,,"station nticket counter, Station Para Rd, near ck road, Chandrakona Road, Sarbera, West Bengal 721253",721201,22.7387819,87.34032979999999,ChIJYbfJEADl9zkR13Po-Fxwq-A,https://www.google.com/maps/place/?q=place_id:ChIJYbfJEADl9zkR13Po-Fxwq-A,part_322,2026-09-20 20:17:18,793
ASHIRBAD HINDU HOTEL & RESTURANT,Non-Veg Biryani Restaurant,Restaurant,Restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 90647 05714,N/A,4.1,,"Chandrakona Town - Ghatal Rd, near Sridhar Petrol Pump, Durlavganj, Sat Bankura, Chandrakona Road, West Bengal 721253",Durlavganj,22.724442699999997,87.3385875,ChIJW8xa_kLl9zkRozp_hufTSbM,https://www.google.com/maps/place/?q=place_id:ChIJW8xa_kLl9zkRozp_hufTSbM,part_322,2026-09-20 20:17:18,794
New Saibaba Tandoori Restaurant & Dhaba,Non-Veg Biryani Restaurant,Restaurant,Restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 76021 09660,https://newsaibabatandoorirestaurant.smartbite.co.in/,4.2,,"Kadamdiha, Chandrokana road, rail gate, Chandrakona Road, West Bengal 721253",rail gate,22.753546999999998,87.3404525,ChIJP3wcVa_l9zkRIKrRw9247X0,https://www.google.com/maps/place/?q=place_id:ChIJP3wcVa_l9zkRIKrRw9247X0,part_322,2026-09-20 20:17:18,795
Saibaba Tandoori Restaurant & hotel,Non-Veg Biryani Restaurant,Restaurant,Restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 76021 09660,N/A,4.1,,"Durlavganj, Chandrakona Road, Sat Bankura, West Bengal 721253",Durlavganj,22.7297814,87.3385823,ChIJHQwIi1Xl9zkRRLQB1zGnPq8,https://www.google.com/maps/place/?q=place_id:ChIJHQwIi1Xl9zkRRLQB1zGnPq8,part_322,2026-09-20 20:17:18,796
Bharat Biriyani,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 91286 28734,N/A,3.5,,"P8MR+G5Q, Ghatal Rd, Chandrakona Road, Dwari Geria, West Bengal 721253",721201,22.7338345,87.3404997,ChIJe2_lDLbl9zkRbpJ5XKC8QlU,https://www.google.com/maps/place/?q=place_id:ChIJe2_lDLbl9zkRbpJ5XKC8QlU,part_322,2026-09-20 20:17:18,797
Kolkata Dada Boudi Chicken Biryani,Non-Veg Biryani Restaurant,Restaurant,"Restaurant, Family restaurant",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 63784 04085,N/A,4.5,,"Kolkata Dada Boudi Chicken Biryani, Chandrakona Town - Ghatal Rd, beside Tandoori Chai, Halderdighi, Khirpai, Ghatal, West Bengal 721232",Halderdighi,22.7139871,87.6100338,ChIJawZVLgAD-DkRCyNxW7Folf0,https://www.google.com/maps/place/?q=place_id:ChIJawZVLgAD-DkRCyNxW7Folf0,part_322,2026-09-20 20:17:18,798
Sanatan Hotel & Restaurant,Non-Veg Biryani Restaurant,Restaurant,Restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 97336 67769,N/A,3.6,,"P8QQ+FVJ, Sarbera, West Bengal 721253",721201,22.738707599999998,87.33964089999999,ChIJi4c1EFXk9zkRgylW74X7ZZo,https://www.google.com/maps/place/?q=place_id:ChIJi4c1EFXk9zkRgylW74X7ZZo,part_322,2026-09-20 20:17:18,799
Bong Pizza Chandrakona Road,Non-Veg Biryani Restaurant,Restaurant,"Restaurant, Family restaurant",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 75859 17079,http://yammyfoods.in/,4.1,,"Midnapore Rd, Chandrakona Town - Ghatal Rd, Durlavganj, Bila, West Bengal 721253",Durlavganj,22.731828699999998,87.3391611,ChIJl3XjKQDl9zkR8RO3q5yF0PA,https://www.google.com/maps/place/?q=place_id:ChIJl3XjKQDl9zkR8RO3q5yF0PA,part_322,2026-09-20 20:17:18,800
Kolkata Arsalan Biriyani,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,3.9,,"P8MQ+8H4, NH 14, Durlavganj, Chandrakona Road, Bila, West Bengal 721253",Durlavganj,22.7332699,87.33894169999999,ChIJH4eJG2Hl9zkRRUBa5EDFNlc,https://www.google.com/maps/place/?q=place_id:ChIJH4eJG2Hl9zkRRUBa5EDFNlc,part_322,2026-09-20 20:17:18,801
Ruchitomo,Non-Veg Biryani Restaurant,Restaurant,Restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,3.6,,"PGH6+VFP, Gach Sitala, Chandrakona, West Bengal 721201",Gach Sitala,22.7297068,87.51119779999999,ChIJxTSEWXH59zkRSBsNGQQhvVA,https://www.google.com/maps/place/?q=place_id:ChIJxTSEWXH59zkRSBsNGQQhvVA,part_322,2026-09-20 20:17:18,802
Jangal Mahal Hotel & Dhaba,Non-Veg Biryani Restaurant,Restaurant,"Restaurant, Dhaba",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 90642 72742,N/A,3.9,,"Garhbeta Rd, near Railway Get, Kadamdiha, Chandrakona Road, West Bengal 721253",721201,22.7557513,87.34071519999999,ChIJ2e_Kgqfl9zkRSOVAYV3i_-c,https://www.google.com/maps/place/?q=place_id:ChIJ2e_Kgqfl9zkRSOVAYV3i_-c,part_322,2026-09-20 20:17:18,803
Delicacy Unlimited Biryani Centre and BBQ,Non-Veg Biryani Restaurant,Barbecue restaurant,Barbecue restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98327 42411,N/A,4.5,,"PJ75+QRP, Khirpai, West Bengal 721232",721201,22.714326099999997,87.609562,ChIJ7VLWOgAD-DkRcPyuF9qo0qM,https://www.google.com/maps/place/?q=place_id:ChIJ7VLWOgAD-DkRcPyuF9qo0qM,part_322,2026-09-20 20:17:18,804
HOTEL BANDHAB & LODGE,Non-Veg Biryani Restaurant,Indian restaurant,Indian restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 94744 19080,N/A,3.6,,"332/221, SH 7, Gach Sitala, Chandrakona, West Bengal 721201",Gach Sitala,22.7294895,87.51114609999999,ChIJucxXve_49zkRyTSlvgV_B_w,https://www.google.com/maps/place/?q=place_id:ChIJucxXve_49zkRyTSlvgV_B_w,part_322,2026-09-20 20:17:18,805
AMBUR BIRIYANI CENTER,Non-Veg Biryani Restaurant,Restaurant,Restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 81235 47413,N/A,5.0,,"46, Ghatal Rd, near Madrasha High School, Guiadaha, Chandrakona Road, Guyadaha, West Bengal 721253",Guiadaha,22.7382089,87.3920406,ChIJgb8WKiH79zkRA2r6lHrYLE8,https://www.google.com/maps/place/?q=place_id:ChIJgb8WKiH79zkRA2r6lHrYLE8,part_322,2026-09-20 20:17:18,806
Kamarpukur Biryani House,Non-Veg Biryani Restaurant,Restaurant,Restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 77182 85753,N/A,4.5,,"Chati, Kamarpukur Bengai Rd, Kamarpukur, Shripur, West Bengal 712612",721201,22.8965283,87.66058869999999,ChIJTUkg5zIZ-DkRwtZybmt4TDI,https://www.google.com/maps/place/?q=place_id:ChIJTUkg5zIZ-DkRwtZybmt4TDI,part_322,2026-09-20 20:17:18,807
SALT & PEPPER,Non-Veg Biryani Restaurant,Food court,Food court,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 70018 94131,https://www.facebook.com/profile.php?id=61551817653622&mibextid=ZbWKwL,4.8,,"P8JQ+RGF, 3345, NH 14, Durlavganj, Chandrakona Road, Bila, West Bengal 721253",Durlavganj,22.731616499999998,87.3391042,ChIJPT5vBQDl9zkRf4AWrBL6mdc,https://www.google.com/maps/place/?q=place_id:ChIJPT5vBQDl9zkRf4AWrBL6mdc,part_322,2026-09-20 20:17:18,808
Elaichi Biriyani,Non-Veg Biryani Restaurant,Food court,Food court,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.0,,"Satibazar, near Regulated Market, Gopinathpur, Chandrakona, West Bengal 721201",Gopinathpur,22.7284242,87.51440029999999,ChIJq-jlZX759zkRNr-DRNQ4Ehc,https://www.google.com/maps/place/?q=place_id:ChIJq-jlZX759zkRNr-DRNQ4Ehc,part_322,2026-09-20 20:17:18,809
Koyel Biryani And Restaurant,Non-Veg Biryani Restaurant,Restaurant,"Restaurant, Biryani restaurant",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 97326 66425,N/A,3.6,,"Garhbeta, Hoomgarh Rd, More, near Punjab Bank, Ganja, West Bengal 721127",721201,22.8591815,87.3584845,ChIJLQGO87fv9zkR0vrQbRoAbG4,https://www.google.com/maps/place/?q=place_id:ChIJLQGO87fv9zkR0vrQbRoAbG4,part_322,2026-09-20 20:17:18,810
Smart Didir Unlimited Biriyani,Non-Veg Biryani Restaurant,Restaurant,Restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,3.9,10.0,"P8QQ+PVX, Sarbera, West Bengal 721253",721201,22.7393698,87.3397012,ChIJteP0FwDl9zkRKzPC1SlEf-o,https://www.google.com/maps/place/?q=place_id:ChIJteP0FwDl9zkRKzPC1SlEf-o,part_322,2026-09-20 20:17:19,811
"Baithaaak “বৈঠক"" – Taste Meets Togetherness",Non-Veg Biryani Restaurant,Restaurant,Restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 81162 77317,N/A,4.3,30.0,"Vill Elambazar Po, Ps, opp. Chandrakona Central Park, Chandrakona, West Bengal 721201",Gach Sitala,22.732484799999998,87.5154305,ChIJncVCGnP59zkRxE6J2N20mAg,https://www.google.com/maps/place/?q=place_id:ChIJncVCGnP59zkRxE6J2N20mAg,part_322,2026-09-20 20:17:19,812
DAWAT - THE BIRYANI KING,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,3.8,162.0,"Kamarpukur choti , Ghatal road, Kamarpukur, West Bengal 712612",721201,22.893224,87.6596148,ChIJyWCvUDEZ-DkRfBl6PkAiZeE,https://www.google.com/maps/place/?q=place_id:ChIJyWCvUDEZ-DkRfBl6PkAiZeE,part_322,2026-09-20 20:17:19,813
GHOSH & GHOSH BIRIYANI,Non-Veg Biryani Restaurant,Indian restaurant,Indian restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 62961 04053,N/A,3.8,8.0,"PGJ7+25V, Gach Sitala, Chandrakona, West Bengal 721201",Gach Sitala,22.7301045,87.51293129999999,ChIJw210JwD59zkRB9CHxLhljkE,https://www.google.com/maps/place/?q=place_id:ChIJw210JwD59zkRB9CHxLhljkE,part_322,2026-09-20 20:17:19,814
Keshpur Arsalan Chicken Biryani Centre,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 75850 42643,N/A,4.3,,"Busstand, Keshpur, West Bengal 721150",Busstand,22.555893599999997,87.4624771,ChIJWxZF0UlVHToR1l142gU2o_s,https://www.google.com/maps/place/?q=place_id:ChIJWxZF0UlVHToR1l142gU2o_s,part_322,2026-09-20 20:17:19,815
Kolkata biryani HOUSE,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 86703 73199,N/A,3.7,,"Narajole, West Bengal 721211",721201,22.563512499999998,87.6119418,ChIJ3_j00M-rAjoRlpTl4Mr5N7I,https://www.google.com/maps/place/?q=place_id:ChIJ3_j00M-rAjoRlpTl4Mr5N7I,part_322,2026-09-20 20:17:19,816
Kolkata Ashirwad Biriyani,Non-Veg Biryani Restaurant,Restaurant,Restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 79728 28772,N/A,4.0,,"R8XC+M3W, Roulia, West Bengal 721121",721201,22.8491371,87.321135,ChIJXZdLZAPv9zkRg_l3BsxEzC0,https://www.google.com/maps/place/?q=place_id:ChIJXZdLZAPv9zkRg_l3BsxEzC0,part_322,2026-09-20 20:17:19,817
Maharashtra Birayani Centre,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Awadhi Restaurant, Breakfast restaurant, Mughlai restaurant",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.2,,"I-TECH ENTERPRISES, shop no.1, irfani manzil 90 fit road Rahmat Nagar, beside Sunshine Garden, Oswal Nagari, Nalasopara East, Maharashtra 401209","Nala Sopara, Moregaon Talao, Oswal Nagari, Nalasopara East",19.41687,72.8211041,ChIJeeOUO0Sp5zsRfx4_-DgYKF8,https://www.google.com/maps/place/?q=place_id:ChIJeeOUO0Sp5zsRfx4_-DgYKF8,part_322,2026-09-20 20:17:19,818
Hotel Dhaba,Non-Veg Biryani Restaurant,Dhaba,Dhaba,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,3.9,,"Kotulpur - Panna Rd, Mohanpur, West Bengal 721232",721201,22.6996386,87.6308262,ChIJ69eBCR0E-DkR5kgtTTNog6Q,https://www.google.com/maps/place/?q=place_id:ChIJ69eBCR0E-DkR5kgtTTNog6Q,part_322,2026-09-20 20:17:19,819
Tarama readyfood and biriyani center,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 93827 89779,N/A,4.3,,"RHCV+HV, Ramjibanpur, West Bengal 721242",721201,22.8214115,87.5948391,ChIJRdVcF0Qd-DkRoMg6kkWHznA,https://www.google.com/maps/place/?q=place_id:ChIJRdVcF0Qd-DkRoMg6kkWHznA,part_322,2026-09-20 20:17:19,820
The Biriyani Darbar,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98321 08802,N/A,4.2,,"hospital, near Garhbeta, Garhbeta, West Bengal 721127",721201,22.857922499999997,87.3547145,ChIJrZzMLJPv9zkRAtBOAR8E-tQ,https://www.google.com/maps/place/?q=place_id:ChIJrZzMLJPv9zkRAtBOAR8E-tQ,part_322,2026-09-20 20:17:19,821
A1 Biriyani & restaurant,Non-Veg Biryani Restaurant,Chicken restaurant,Chicken restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 97328 36436,N/A,4.0,,"RJF4+GRX, Ramjibanpur, West Bengal 721242",721201,22.8238675,87.6071228,ChIJXS8orrkd-DkR3kBhaVcb0zE,https://www.google.com/maps/place/?q=place_id:ChIJXS8orrkd-DkR3kBhaVcb0zE,part_322,2026-09-20 20:17:19,822
Hyderabadi Biriyani,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 95317 60387,N/A,4.0,,"V965+MQ3, Moyrakata, Panch Moledanga, Garhbeta, West Bengal 721127",Moyrakata,22.8615396,87.35935649999999,ChIJqYP7fLXv9zkRklnUuPPMMLw,https://www.google.com/maps/place/?q=place_id:ChIJqYP7fLXv9zkRklnUuPPMMLw,part_322,2026-09-20 20:17:19,823
New Arsalan Biriyaani House,Non-Veg Biryani Restaurant,Biryani restaurant,"Biryani restaurant, Food court",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 89440 77325,N/A,4.0,,"39, East Ave, Rangamati, Shekhpura, Midnapore, West Bengal 721101","Rangamati, Shekhpura",22.421451299999998,87.3138123,ChIJI93KBkVbHToRo_WJNo38ofA,https://www.google.com/maps/place/?q=place_id:ChIJI93KBkVbHToRo_WJNo38ofA,part_322,2026-09-20 20:17:19,824
Lucknow Biryani and restaurant,Non-Veg Biryani Restaurant,Indian restaurant,Indian restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,2.8,,"R8XC+JJF, Radhanagar, West Bengal 721121",721201,22.8490976,87.3217872,ChIJMenlZQDv9zkRdpDjLA61eBc,https://www.google.com/maps/place/?q=place_id:ChIJMenlZQDv9zkRdpDjLA61eBc,part_322,2026-09-20 20:17:19,825
Annyapurna Hindu Hotel & Dhaba,Non-Veg Biryani Restaurant,Dhaba,Dhaba,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.4,,"Khirpai - Ghatal Rd, Khirpai, West Bengal 721232",721201,22.6986064,87.6323249,ChIJUR5mVNMF-DkRO2YyJ3TjC1U,https://www.google.com/maps/place/?q=place_id:ChIJUR5mVNMF-DkRO2YyJ3TjC1U,part_322,2026-09-20 20:17:19,826
NEW APANJON DHABA ( Malu ),Non-Veg Biryani Restaurant,Dhaba,Dhaba,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 89189 29188,N/A,3.9,,"Q83R+M8V, Paturia, West Bengal 721253",721201,22.754249299999998,87.3407972,ChIJwVO08qfl9zkRZtwckpgNMQM,https://www.google.com/maps/place/?q=place_id:ChIJwVO08qfl9zkRZtwckpgNMQM,part_322,2026-09-20 20:17:19,827
Pyne Biriyani,Non-Veg Biryani Restaurant,Restaurant,Restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 62949 50118,N/A,4.2,,"RJG6+H5P, Ramjibanpur Main Rd, Ramjibanpur, West Bengal 721242",721201,22.8264581,87.6104376,ChIJeaXGHRMd-DkRFwRORNIdvkM,https://www.google.com/maps/place/?q=place_id:ChIJeaXGHRMd-DkRFwRORNIdvkM,part_322,2026-09-20 20:17:19,828
Anirban’s Biriyani & Caterers,Non-Veg Biryani Restaurant,Biryani restaurant,"Biryani restaurant, Family restaurant",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98313 35118,https://dbapibiriyani.com/,4.0,6911.0,"Sodepur Rd, opposite Reliance Trends, Sreepur, Madhayam Gram Bazaar, Madhyamgram, West Bengal 700130","Sreepur, Madhayam Gram Bazaar, Madhyamgram",22.6962843,88.446376,ChIJVYCtPSef-DkRtH8dvAk4l6A,https://www.google.com/maps/place/?q=place_id:ChIJVYCtPSef-DkRtH8dvAk4l6A,part_322,2026-09-20 20:17:20,829
Abar Khabo Fast Food,Non-Veg Biryani Restaurant,Fast food restaurant,Fast food restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 70030 12239,N/A,3.9,303.0,"66, E Station Rd, Chandra Pally, New Barrackpur, Kolkata, West Bengal 700131","Chandra Pally, New Barrackpur",22.6886355,88.4468203,ChIJzdVi92ef-DkRQXzq7RRbzQk,https://www.google.com/maps/place/?q=place_id:ChIJzdVi92ef-DkRQXzq7RRbzQk,part_322,2026-09-20 20:17:20,830
Aahar Biryani Centre,Non-Veg Biryani Restaurant,Biryani restaurant,"Biryani restaurant, Indian restaurant",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98300 79817,N/A,3.7,517.0,"Sodepur Barasat Rd, near kabiguru school, Rabindra Pally, Madhyamgram, Kolkata, West Bengal 700130","Rabindra Pally, Madhyamgram",22.695591,88.4524187,ChIJI2ZhgTqf-DkRE5F7VNcAcQc,https://www.google.com/maps/place/?q=place_id:ChIJI2ZhgTqf-DkRE5F7VNcAcQc,part_322,2026-09-20 20:17:20,831
Arsalan Restaurant & Caterer - Jessore Road,Non-Veg Biryani Restaurant,Mughlai restaurant,"Mughlai restaurant, Biryani restaurant, Halal restaurant, Kebab shop",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 91633 63650,http://www.arsalanrestaurants.com/,4.1,9792.0,"123, Jessore Rd, Shyam Nagar, Satgachi, South Dumdum, West Bengal 700055","Shyam Nagar, Satgachi",22.612389699999998,88.4111325,ChIJ3-I9pgKe-DkRRZat_YF9cJY,https://www.google.com/maps/place/?q=place_id:ChIJ3-I9pgKe-DkRRZat_YF9cJY,part_322,2026-09-20 20:17:20,832
Famous Biryani,Non-Veg Biryani Restaurant,Biryani restaurant,"Biryani restaurant, Chicken restaurant",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98318 68784,N/A,4.3,52.0,"B K Road, Ekbalpur, Kolkata, West Bengal 700023","Ekbalpur, Mominpore",22.5302527,88.3184893,ChIJe6SXX_l5AjoRl-8Zp27ecCo,https://www.google.com/maps/place/?q=place_id:ChIJe6SXX_l5AjoRl-8Zp27ecCo,part_322,2026-09-20 20:17:20,833
Indian Biriyani,Non-Veg Biryani Restaurant,Caterer,Caterer,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 62918 21617,N/A,5.0,1.0,"Indian Biriyani Indian Biriyani, 2, Raja Bazar, Kolkata, West Bengal 700009",Raja Bazar,22.5742646,88.3753746,ChIJF-deT8x3AjoRgGcQY0K53bA,https://www.google.com/maps/place/?q=place_id:ChIJF-deT8x3AjoRgGcQY0K53bA,part_322,2026-09-20 20:17:20,834
MAHABHOJ Restaurant,Non-Veg Biryani Restaurant,Indian restaurant,Indian restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 93310 17234,N/A,4.5,1056.0,"New Biswa, Bangla parking, 1st floor of greenroom, Biswa Bangla Open Air Stage, opp. blue view hotel, Gadadharpur, Digha, West Bengal 721428",Gadadharpur,21.623148,87.5229896,ChIJozRwdH3NHDoRul5J85XJou0,https://www.google.com/maps/place/?q=place_id:ChIJozRwdH3NHDoRul5J85XJou0,part_322,2026-09-20 20:17:20,835
Oudh 1590 - Madhyamgram,Non-Veg Biryani Restaurant,Awadhi Restaurant,"Awadhi Restaurant, Biryani restaurant, Indian restaurant, Restaurant",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 81001 07688,https://www.oudh1590.com/,4.1,2130.0,"Matri Villa, 362/1, Jessore Rd, opposite Reliance Mall, Ram Mohan Estate, Diagonally, Kolkata, West Bengal 700129","Ram Mohan Estate, Diagonally",22.68808,88.4638161,ChIJRcQZWLWf-DkRFCjk5E3krjE,https://www.google.com/maps/place/?q=place_id:ChIJRcQZWLWf-DkRFCjk5E3krjE,part_322,2026-09-20 20:17:20,836
Arsalan Restaurant & Caterer,Non-Veg Biryani Restaurant,North Indian restaurant,"North Indian restaurant, Indian restaurant, Mughlai restaurant",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 90070 07934,https://arsalanrestaurants.com/hatibagan/,4.2,13987.0,"138, Bidhan Sarani Rd, near Town School, beside Hati Bagan, Sovabazar, Hati Bagan, Shyam Bazar, Kolkata, West Bengal 700004","Sovabazar, Hati Bagan, Shyam Bazar",22.596743099999998,88.3712054,ChIJ___IdOF2AjoR1fQGvJfH64k,https://www.google.com/maps/place/?q=place_id:ChIJ___IdOF2AjoR1fQGvJfH64k,part_322,2026-09-20 20:17:20,837
Arsalan Restaurant & Caterer,Non-Veg Biryani Restaurant,Restaurant,Restaurant,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 90070 07944,http://www.arsalanrestaurants.com/,4.1,8232.0,"23A, Diamond Harbour Rd, opp. India Government Mint, Block A, Block B, New Alipore, Kolkata, West Bengal 700053","Block A, Block B, New Alipore",22.5153067,88.3231734,ChIJi7YdGgB6AjoRGJPChsDAJqk,https://www.google.com/maps/place/?q=place_id:ChIJi7YdGgB6AjoRGJPChsDAJqk,part_322,2026-09-20 20:17:20,838
Food Online,Non-Veg Biryani Restaurant,Restaurant,"Restaurant, Food court",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 75968 52471,N/A,4.6,236.0,"Rabindranagar, near Agroni Sangha, Madhyamgram, Kolkata, West Bengal 700129",Madhyamgram,22.6845933,88.470743,ChIJDWRvQNqf-DkRuIHaZ7ofFxY,https://www.google.com/maps/place/?q=place_id:ChIJDWRvQNqf-DkRuIHaZ7ofFxY,part_322,2026-09-20 20:17:20,839
Aminia Restaurant - Tollygunge,Non-Veg Biryani Restaurant,Indian restaurant,"Indian restaurant, Biryani restaurant, Fast food restaurant, Mughlai restaurant",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 93306 05824,https://linktr.ee/aminiaindia,3.8,3578.0,"140/35, Malancha Cinema, Akashdeep Apartment,Tollygunge, Netaji Subhas Chandra Bose Rd, near Regent Colony, Regent Park, Kolkata, West Bengal 700040","Regent Colony, Regent Park",22.4864726,88.3514015,ChIJ2TkuJ-pwAjoRaI5oR3CLb4E,https://www.google.com/maps/place/?q=place_id:ChIJ2TkuJ-pwAjoRaI5oR3CLb4E,part_322,2026-09-20 20:17:20,840
